IsProject,ParentGenealogy,Name,IsEffective,Color
1,,Quolim,True,Red
0,::Quolim,English,True,
0,::Quolim,Todoist,True,
1,,Dev,True,Green
0,::Dev,Excel,True,
1,::Dev,DirectX,True,Green
1,::Dev,Unity,True,Green
1,::Dev::Unity,ActivityLog,True,
1,::Dev::Unity,Interactor3110,True,
1,::Dev::Unity,GACHA-HOLIC,True,
1,::Dev::Unity,smo2106,True,
0,::Dev::Unity::smo2106,コアタイム,True,
1,,pabulum,True,Red
1,::pabulum,読書,True,Red
1,::pabulum,Animation,True,Red
1,::pabulum,百合,True,Red
1,::pabulum,Nintendo,True,Red
1,::pabulum,めるすと,True,Red
0,::pabulum::めるすと,ギルバト,True,
0,::pabulum::めるすと,降臨,True,
0,::pabulum::めるすと,暴走,True,
0,::pabulum::めるすと,爆走,True,
0,::pabulum::めるすと,エクストラ,True,
1,::pabulum,Game,True,Red
0,::pabulum::Game,ガルパ,True,
1,,Livelihood,True,Red
1,::Livelihood,Initialize,True,Red
0,::Livelihood::Initialize,起床,True,
0,::Livelihood::Initialize,出発準備,True,
1,::Livelihood,Update,True,Red
0,::Livelihood::Update,食事,True,
0,::Livelihood::Update,WC-S,True,
0,::Livelihood::Update,WC-L,True,
1,::Livelihood,Rest,True,Red
0,::Livelihood::Rest,ひと息,True,
1,::Livelihood,Finalize,True,Red
0,::Livelihood::Finalize,風呂,True,
0,::Livelihood::Finalize,歯磨き,True,
1,::Livelihood,Sleep,True,Red
0,::Livelihood::Sleep,就寝,True,
0,::Livelihood::Sleep,Nap,True,
1,,Event,True,Red
1,::Event,Affair,True,Red
1,::Event,Familiar,True,Red
1,::Event,Leisure,True,Red
0,::Event::Leisure,施錠,True,
0,::Event::Leisure,Marche,True,
1,::Event,Interested,True,Red
1,,ISR,True,Red
1,::ISR,MisLead,True,Blue
0,::ISR::MisLead,面接,True,
0,::ISR::MisLead,オファー面接,True,
1,::ISR,PTJ,True,Red
0,::ISR::PTJ,出勤道中,True,
0,::ISR::PTJ,シフト,True,
0,::ISR::PTJ,帰宅道中,True,
1,::ISR,University,True,Red
0,::ISR::University,登校中,True,
1,::ISR::University,講義,True,Red
0,::ISR::University::講義,PatternRecognition2,True,
0,::ISR::University::講義,ComputerSecurity,True,
0,::ISR::University,下校中,True,
1,::ISR,Laboratory,True,Red
0,::ISR::Laboratory,root,True,
0,::ISR::Laboratory,TA,True,
