IsProject,ParentGenealogy,Name,IsEffective,Color
1,,pabulum,True,Red
0,::pabulum,安達としまむら,True,
0,::pabulum,ユーフォ,True,
0,::pabulum,はねバド!,True,
0,::pabulum,まちカドまぞく,True,
0,::pabulum,NintendoDirect,True,
0,::pabulum,NintendoLabo,True,
0,::pabulum,A,True,
0,::pabulum,Hoge,True,
1,,MisLead,True,Blue
0,::MisLead,面接練習,True,
0,::MisLead,オファー面接,True,
1,,Dev,True,Green
0,::Dev,Excel,True,
1,::Dev,Unity,True,Green
0,::Dev::Unity,ActivityLog,True,
0,::Dev::Unity,Interactor3110,True,
0,::Dev::Unity,GACHA,True,
1,,Unproductive,False,Brown
0,::Unproductive,Twitter,False,
0,::Unproductive,SelfProduce,False,
1,,TestSample,False,Gray
0,::TestSample,Hoge,False,
